
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"892"         0.400          ( 153.590001   , 92.658       )     No           3          1    2    3 
"893"         0.400          ( 199.762      , 102.503      )     No           3          1    2    3 
"894"         0.400          ( 190.235      , 114.988      )     No           3          1    2    3 
"895"         0.400          ( 190.235      , 114.988      )     No           3          1    2    3 
"896"         0.400          ( 177          , 100.261      )     No           3          1    2    3 
"897"         0.400          ( 80.894       , 70.738       )     No           3          1    2    3 
"898"         0.400          ( 80.163001    , 70.574       )     No           3          1    2    3 
"899"         0.400          ( 80.08        , 70.862       )     No           3          1    2    3 
"900"         0.400          ( 79.828       , 71.102001    )     No           3          1    2    3 
"901"         0.400          ( 80.904       , 71.89        )     No           3          1    2    3 
"902"         0.400          ( 80.953999    , 72.186       )     No           3          1    2    3 
"903"         0.400          ( 80.519       , 72.625       )     No           3          1    2    3 
"904"         0.400          ( 80.582       , 72.867999    )     No           3          1    2    3 
"905"         0.400          ( 79.512       , 68.700001    )     No           3          1    2    3 
"906"         0.400          ( 86.544001    , 67.799       )     No           3          1    2    3 
"907"         0.400          ( 86.15        , 67.87        )     No           3          1    2    3 
"908"         0.400          ( 82.816       , 68.054       )     No           3          1    2    3 
"909"         0.400          ( 82.282001    , 67.393       )     No           3          1    2    3 
"910"         0.400          ( 110.913      , 66.716       )     No           3          1    2    3 
"911"         0.400          ( 111.230999   , 66.862       )     No           3          1    2    3 
"912"         0.400          ( 107.710001   , 67.086       )     No           3          1    2    3 
"913"         0.400          ( 107.629001   , 66.75        )     No           3          1    2    3 
"914"         0.400          ( 98.158999    , 64.784       )     No           3          1    2    3 
"915"         0.400          ( 98.545       , 66.004       )     No           3          1    2    3 
"916"         0.400          ( 95.271       , 66.98        )     No           3          1    2    3 
"917"         0.400          ( 94.375999    , 67.529       )     No           3          1    2    3 
"918"         0.400          ( 87.245       , 100.771      )     No           3          1    2    3 
"919"         0.400          ( 88.797       , 108.426      )     No           3          1    2    3 
"920"         0.400          ( 147.379      , 127.654      )     No           3          1    2    3 
"921"         0.400          ( 147.379      , 127.654      )     No           3          1    2    3 
"922"         0.400          ( 162.353      , 122.143      )     No           3          1    2    3 
"923"         0.400          ( 162.353      , 122.143      )     No           3          1    2    3 
"924"         0.400          ( 149          , 66.799       )     No           3          1    2    3 
"925"         0.400          ( 148.936      , 66.962       )     No           3          1    2    3 
"926"         0.400          ( 148.851001   , 67.752       )     No           3          1    2    3 
"927"         0.400          ( 150.134      , 71.311       )     No           3          1    2    3 
"928"         0.400          ( 149.975      , 71.571       )     No           3          1    2    3 
"929"         0.400          ( 153.526      , 91.808       )     No           3          1    2    3 
"930"         0.400          ( 153.492      , 92.684       )     No           3          1    2    3 
"931"         0.400          ( 202.654      , 100.492      )     No           3          1    2    3 
"932"         0.400          ( 199.73       , 102.654999   )     No           3          1    2    3 
"933"         0.400          ( 190.721      , 115.168      )     No           3          1    2    3 
"934"         0.400          ( 190.721      , 115.168      )     No           3          1    2    3 
"935"         0.400          ( 80.171001    , 70.267       )     No           3          1    2    3 
"936"         0.400          ( 80.045       , 70.518001    )     No           3          1    2    3 
"937"         0.400          ( 79.884999    , 70.816       )     No           3          1    2    3 
"938"         0.400          ( 79.645       , 71.091       )     No           3          1    2    3 
"939"         0.400          ( 80.872       , 71.939001    )     No           3          1    2    3 
"940"         0.400          ( 80.899999    , 72.239       )     No           3          1    2    3 
"941"         0.400          ( 80.056       , 72.726       )     No           3          1    2    3 
"942"         0.400          ( 80.083       , 72.976       )     No           3          1    2    3 
"943"         0.400          ( 79.117999    , 68.124       )     No           3          1    2    3 
"944"         0.400          ( 86.558       , 67.504       )     No           3          1    2    3 
"945"         0.400          ( 86.192       , 67.645001    )     No           3          1    2    3 
"946"         0.400          ( 82.802       , 67.857       )     No           3          1    2    3 
"947"         0.400          ( 82.31        , 67.042       )     No           3          1    2    3 
"948"         0.400          ( 111.093      , 66.633       )     No           3          1    2    3 
"949"         0.400          ( 111.311999   , 66.822       )     No           3          1    2    3 
"950"         0.400          ( 107.832999   , 66.847       )     No           3          1    2    3 
"951"         0.400          ( 107.710001   , 66.567       )     No           3          1    2    3 
"952"         0.400          ( 97.95        , 64.806       )     No           3          1    2    3 
"953"         0.400          ( 98.444       , 65.872       )     No           3          1    2    3 
"954"         0.400          ( 95.25        , 66.807       )     No           3          1    2    3 
"955"         0.400          ( 94.793       , 67.417       )     No           3          1    2    3 
"956"         0.400          ( 86.602999    , 97.796       )     No           3          1    2    3 
"957"         0.400          ( 88.6695      , 108.495      )     No           3          1    2    3 
"958"         0.400          ( 147.223      , 128.066      )     No           3          1    2    3 
"959"         0.400          ( 147.223      , 128.066      )     No           3          1    2    3 
"960"         0.400          ( 163.018      , 122.799001   )     No           3          1    2    3 
"961"         0.400          ( 163.018      , 122.799001   )     No           3          1    2    3 
"962"         0.400          ( 149          , 66.490001    )     No           3          1    2    3 
"963"         0.400          ( 148.897001   , 66.735       )     No           3          1    2    3 
"964"         0.400          ( 148.761      , 67.997       )     No           3          1    2    3 
"965"         0.400          ( 150.316001   , 71.389999    )     No           3          1    2    3 
"966"         0.400          ( 150.042      , 71.573001    )     No           3          1    2    3 
"967"         0.400          ( 153.526      , 91.98        )     No           3          1    2    3 
"968"         0.400          ( 153.371      , 92.703       )     No           3          1    2    3 
"969"         0.400          ( 202.832      , 100.315      )     No           3          1    2    3 
"970"         0.400          ( 199.73       , 102.765      )     No           3          1    2    3 
"971"         0.400          ( 191.177001   , 115.458001   )     No           3          1    2    3 
"972"         0.400          ( 191.177001   , 115.458001   )     No           3          1    2    3 
"973"         0.400          ( 79.874       , 70.186999    )     No           3          1    2    3 
"974"         0.400          ( 79.771       , 70.461       )     No           3          1    2    3 
"975"         0.400          ( 79.553       , 70.782       )     No           3          1    2    3 
"976"         0.400          ( 79.278       , 71.113       )     No           3          1    2    3 
"977"         0.400          ( 80.826       , 71.976       )     No           3          1    2    3 
"978"         0.400          ( 80.840999    , 72.266001    )     No           3          1    2    3 
"979"         0.400          ( 79.874       , 72.726       )     No           3          1    2    3 
"980"         0.400          ( 79.866       , 72.976       )     No           3          1    2    3 
"981"         0.400          ( 78.850999    , 67.773       )     No           3          1    2    3 
"982"         0.400          ( 86.502       , 67.294       )     No           3          1    2    3 
"983"         0.400          ( 86.178001    , 67.406       )     No           3          1    2    3 
"984"         0.400          ( 82.83        , 67.773       )     No           3          1    2    3 
"985"         0.400          ( 82.394       , 66.845       )     No           3          1    2    3 
"986"         0.400          ( 111.17       , 66.546999    )     No           3          1    2    3 
"987"         0.400          ( 111.394      , 66.72        )     No           3          1    2    3 
"988"         0.400          ( 107.913999   , 66.664       )     No           3          1    2    3 
"989"         0.400          ( 107.797      , 66.231       )     No           3          1    2    3 
"990"         0.400          ( 97.999999    , 56.261       )     No           3          1    2    3 
"991"         0.400          ( 98.393       , 65.811       )     No           3          1    2    3 
"992"         0.400          ( 95.271       , 66.675       )     No           3          1    2    3 
"993"         0.400          ( 94.903999    , 67.346       )     No           3          1    2    3 
"994"         0.400          ( 86.508       , 97.677       )     No           3          1    2    3 
"995"         0.400          ( 88.829       , 108.487999   )     No           3          1    2    3 
"996"         0.400          ( 82           , 109.261      )     No           3          1    2    3 
"997"         0.400          ( 147.105      , 128.214      )     No           3          1    2    3 
"998"         0.400          ( 147.105      , 128.214      )     No           3          1    2    3 
"999"         0.400          ( 164.17       , 123.912      )     No           3          1    2    3 
"1000"        0.400          ( 164.17       , 123.912      )     No           3          1    2    3 
"1001"        0.400          ( 149.062      , 66.058       )     No           3          1    2    3 
"1002"        0.400          ( 148.866      , 66.554       )     No           3          1    2    3 
"1003"        0.400          ( 148.633001   , 68.184       )     No           3          1    2    3 
"1004"        0.400          ( 150.4        , 71.464001    )     No           3          1    2    3 
"1005"        0.400          ( 150.091      , 71.579       )     No           3          1    2    3 
"1006"        0.400          ( 153.531      , 92.127001    )     No           3          1    2    3 
"1007"        0.400          ( 148.13       , 93.837       )     No           3          1    2    3 
"1008"        0.400          ( 203.428001   , 99.838       )     No           3          1    2    3 
"1009"        0.400          ( 199.73       , 102.888      )     No           3          1    2    3 
"1010"        0.400          ( 191.382      , 115.629      )     No           3          1    2    3 
"1011"        0.400          ( 191.382      , 115.629      )     No           3          1    2    3 
"1012"        0.400          ( 79.587001    , 70.175       )     No           3          1    2    3 
"1013"        0.400          ( 79.472999    , 70.461       )     No           3          1    2    3 
"1014"        0.400          ( 79.13        , 70.85        )     No           3          1    2    3 
"1015"        0.400          ( 76.946       , 71.831       )     No           3          1    2    3 
"1016"        0.400          ( 80.715001    , 72.043       )     No           3          1    2    3 
"1017"        0.400          ( 80.455999    , 72.383       )     No           3          1    2    3 
"1018"        0.400          ( 79.584001    , 72.709       )     No           3          1    2    3 
"1019"        0.400          ( 79.498001    , 72.954       )     No           3          1    2    3 
"1020"        0.400          ( 78.53        , 67.455       )     No           3          1    2    3 
"1021"        0.400          ( 86.403       , 66.872       )     No           3          1    2    3 
"1022"        0.400          ( 86.136       , 67.195       )     No           3          1    2    3 
"1023"        0.400          ( 82.928001    , 67.646       )     No           3          1    2    3 
"1024"        0.400          ( 82.748001    , 66.619       )     No           3          1    2    3 
"1025"        0.400          ( 111.276999   , 66.384       )     No           3          1    2    3 
"1026"        0.400          ( 111.459999   , 66.592       )     No           3          1    2    3 
"1027"        0.400          ( 107.990001   , 66.47        )     No           3          1    2    3 
"1028"        0.400          ( 107.848      , 66.036999    )     No           3          1    2    3 
"1029"        0.400          ( 98.187       , 65.783999    )     No           3          1    2    3 
"1030"        0.400          ( 98.187       , 65.783999    )     No           3          1    2    3 
"1031"        0.400          ( 95.372       , 66.584       )     No           3          1    2    3 
"1032"        0.400          ( 94.954999    , 67.194       )     No           3          1    2    3 
"1033"        0.400          ( 86.388001    , 97.629       )     No           3          1    2    3 
"1034"        0.400          ( 88.936       , 108.513      )     No           3          1    2    3 
"1035"        0.400          ( 147.03       , 128.422999   )     No           3          1    2    3 
"1036"        0.400          ( 147.03       , 128.422999   )     No           3          1    2    3 
"1037"        0.400          ( 164.881      , 125.08       )     No           3          1    2    3 
"1038"        0.400          ( 164.881      , 125.08       )     No           3          1    2    3 
"1039"        0.400          ( 149.123001   , 65.691       )     No           3          1    2    3 
"1040"        0.400          ( 148.779      , 66.335       )     No           3          1    2    3 
"1041"        0.400          ( 148.450001   , 68.372       )     No           3          1    2    3 
"1042"        0.400          ( 150.459      , 71.553       )     No           3          1    2    3 
"1043"        0.400          ( 150.158      , 71.605       )     No           3          1    2    3 
"1044"        0.400          ( 153.531      , 92.25        )     No           3          1    2    3 
"1045"        0.400          ( 147.487      , 94.058001    )     No           3          1    2    3 
"1046"        0.400          ( 203.804      , 99.612001    )     No           3          1    2    3 
"1047"        0.400          ( 199.716      , 103.08       )     No           3          1    2    3 
"1048"        0.400          ( 191.589001   , 115.876999   )     No           3          1    2    3 
"1049"        0.400          ( 191.589001   , 115.876999   )     No           3          1    2    3 
"1050"        0.400          ( 79.324       , 70.21        )     No           3          1    2    3 
"1051"        0.400          ( 79.038       , 70.541       )     No           3          1    2    3 
"1052"        0.400          ( 78.492999    , 71.049999    )     No           3          1    2    3 
"1053"        0.400          ( 76.707999    , 71.93        )     No           3          1    2    3 
"1054"        0.400          ( 80.393       , 72.141       )     No           3          1    2    3 
"1055"        0.400          ( 80.029       , 72.476       )     No           3          1    2    3 
"1056"        0.400          ( 79.501       , 72.649999    )     No           3          1    2    3 
"1057"        0.400          ( 79.346       , 72.845999    )     No           3          1    2    3 
"1058"        0.400          ( 77.66        , 66.835       )     No           3          1    2    3 
"1059"        0.400          ( 86.249       , 66.45        )     No           3          1    2    3 
"1060"        0.400          ( 86.08        , 67.069       )     No           3          1    2    3 
"1061"        0.400          ( 82.975       , 67.611       )     No           3          1    2    3 
"1062"        0.400          ( 80           , 58.261       )     No           3          1    2    3 
"1063"        0.400          ( 111.323001   , 66.245999    )     No           3          1    2    3 
"1064"        0.400          ( 111.521      , 66.45        )     No           3          1    2    3 
"1065"        0.400          ( 108.082      , 66.245999    )     No           3          1    2    3 
"1066"        0.400          ( 107.897999   , 65.779       )     No           3          1    2    3 
"1067"        0.400          ( 95.564001    , 66.488       )     No           3          1    2    3 
"1068"        0.400          ( 94.965       , 66.97        )     No           3          1    2    3 
"1069"        0.400          ( 86.122       , 97.588       )     No           3          1    2    3 
"1070"        0.400          ( 89.036999    , 108.576      )     No           3          1    2    3 
"1071"        0.400          ( 146.757      , 128.167      )     No           3          1    2    3 
"1072"        0.400          ( 149          , 132.261      )     No           3          1    2    3 
"1073"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1074"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1075"        0.400          ( 149.223      , 65.341       )     No           3          1    2    3 
"1076"        0.400          ( 148.669999   , 66.155       )     No           3          1    2    3 
"1077"        0.400          ( 144.795      , 71.705       )     No           3          1    2    3 
"1078"        0.400          ( 150.514      , 71.637       )     No           3          1    2    3 
"1079"        0.400          ( 150.214      , 71.642999    )     No           3          1    2    3 
"1080"        0.400          ( 153.526      , 92.314       )     No           3          1    2    3 
"1081"        0.400          ( 146.882      , 94.449       )     No           3          1    2    3 
"1082"        0.400          ( 204.054      , 99.511999    )     No           3          1    2    3 
"1083"        0.400          ( 199.634001   , 103.231      )     No           3          1    2    3 
"1084"        0.400          ( 191.889      , 116.227      )     No           3          1    2    3 
"1085"        0.400          ( 191.889      , 116.227      )     No           3          1    2    3 
"1086"        0.400          ( 77.791001    , 70.576       )     No           3          1    2    3 
"1087"        0.400          ( 78.409       , 70.679       )     No           3          1    2    3 
"1088"        0.400          ( 76.758       , 71.637       )     No           3          1    2    3 
"1089"        0.400          ( 76.406       , 72.055       )     No           3          1    2    3 
"1090"        0.400          ( 80.003       , 72.226       )     No           3          1    2    3 
"1091"        0.400          ( 79.881       , 72.476       )     No           3          1    2    3 
"1092"        0.400          ( 79.343       , 72.511       )     No           3          1    2    3 
"1093"        0.400          ( 79.172001    , 72.694       )     No           3          1    2    3 
"1094"        0.400          ( 77.329       , 66.545       )     No           3          1    2    3 
"1095"        0.400          ( 86.163999    , 66.31        )     No           3          1    2    3 
"1096"        0.400          ( 85.980999    , 67.012       )     No           3          1    2    3 
"1097"        0.400          ( 80           , 58.261       )     No           3          1    2    3 
"1098"        0.400          ( 111.369001   , 66.027       )     No           3          1    2    3 
"1099"        0.400          ( 111.598001   , 66.215       )     No           3          1    2    3 
"1100"        0.400          ( 108.168      , 66.006001    )     No           3          1    2    3 
"1101"        0.400          ( 107.856      , 65.269       )     No           3          1    2    3 
"1102"        0.400          ( 92           , 57.261       )     No           3          1    2    3 
"1103"        0.400          ( 94.945001    , 66.574       )     No           3          1    2    3 
"1104"        0.400          ( 80           , 97.261       )     No           3          1    2    3 
"1105"        0.400          ( 89.1         , 108.677      )     No           3          1    2    3 
"1106"        0.400          ( 146.440999   , 127.966      )     No           3          1    2    3 
"1107"        0.400          ( 164.916      , 125.795      )     No           3          1    2    3 
"1108"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1109"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1110"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1111"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1112"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1113"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1114"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1115"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1116"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1117"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1118"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1119"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1120"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1121"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1122"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1123"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1124"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1125"        0.400          ( 165.10133201 , 126.07808426 )     No           3          1    2    3 
"1126"        0.400          ( 164          , 130.261      )     No           3          1    2    3 
"1127"        0.400          ( 149.277      , 65.019       )     No           3          1    2    3 
"1128"        0.400          ( 148.542      , 66.027       )     No           3          1    2    3 
"1129"        0.400          ( 144.512      , 71.954       )     No           3          1    2    3 
"1130"        0.400          ( 150.542001   , 71.658       )     No           3          1    2    3 
"1131"        0.400          ( 150.263      , 71.683       )     No           3          1    2    3 
"1132"        0.400          ( 153.486999   , 92.368       )     No           3          1    2    3 
"1133"        0.400          ( 146.561999   , 94.858       )     No           3          1    2    3 
"1134"        0.400          ( 204.804001   , 99.062       )     No           3          1    2    3 
"1135"        0.400          ( 199.497001   , 103.423      )     No           3          1    2    3 
"1136"        0.400          ( 192.090001   , 116.469      )     No           3          1    2    3 
"1137"        0.400          ( 192.090001   , 116.469      )     No           3          1    2    3 
"1138"        0.400          ( 77.562001    , 70.61        )     No           3          1    2    3 
"1139"        0.400          ( 77.859       , 70.827       )     No           3          1    2    3 
"1140"        0.400          ( 76.268       , 71.834       )     No           3          1    2    3 
"1141"        0.400          ( 75.439999    , 72.474       )     No           3          1    2    3 
"1142"        0.400          ( 79.887999    , 72.226       )     No           3          1    2    3 
"1143"        0.400          ( 79.6635      , 72.4585      )     No           3          1    2    3 
"1144"        0.400          ( 79.151       , 72.32        )     No           3          1    2    3 
"1145"        0.400          ( 79.02        , 72.542       )     No           3          1    2    3 
"1146"        0.400          ( 77.122       , 66.214       )     No           3          1    2    3 
"1147"        0.400          ( 86.023999    , 66.197       )     No           3          1    2    3 
"1148"        0.400          ( 85.8324995   , 66.9695      )     No           3          1    2    3 
"1149"        0.400          ( 111.404001   , 65.757       )     No           3          1    2    3 
"1150"        0.400          ( 111.644      , 65.986       )     No           3          1    2    3 
"1151"        0.400          ( 108.196      , 65.808       )     No           3          1    2    3 
"1152"        0.400          ( 107.799      , 64.929       )     No           3          1    2    3 
"1153"        0.400          ( 95.345       , 65.56        )     No           3          1    2    3 
"1154"        0.400          ( 94.925       , 66.309       )     No           3          1    2    3 
"1155"        0.400          ( 89.145001    , 108.805      )     No           3          1    2    3 
"1156"        0.400          ( 145.839      , 127.88       )     No           3          1    2    3 
"1157"        0.400          ( 164.796001   , 125.626      )     No           3          1    2    3 
"1158"        0.400          ( 149.372999   , 64.73        )     No           3          1    2    3 
"1159"        0.400          ( 142.671      , 63.394999    )     No           3          1    2    3 
"1160"        0.400          ( 144.361999   , 72.137       )     No           3          1    2    3 
"1161"        0.400          ( 150.572      , 71.660001    )     No           3          1    2    3 
"1162"        0.400          ( 150.335      , 71.76        )     No           3          1    2    3 
"1163"        0.400          ( 153.413      , 92.417       )     No           3          1    2    3 
"1164"        0.400          ( 146.381      , 95.178999    )     No           3          1    2    3 
"1165"        0.400          ( 205.054001   , 98.962       )     No           3          1    2    3 
"1166"        0.400          ( 199.999999   , 90.261       )     No           3          1    2    3 
"1167"        0.400          ( 199.154      , 103.669      )     No           3          1    2    3 
"1168"        0.400          ( 192.274999   , 116.793      )     No           3          1    2    3 
"1169"        0.400          ( 192.274999   , 116.793      )     No           3          1    2    3 
"1170"        0.400          ( 77.333001    , 70.61        )     No           3          1    2    3 
"1171"        0.400          ( 77.344001    , 70.919001    )     No           3          1    2    3 
"1172"        0.400          ( 76.244999    , 71.689       )     No           3          1    2    3 
"1173"        0.400          ( 75.616       , 72.097       )     No           3          1    2    3 
"1174"        0.400          ( 75.17        , 72.566       )     No           3          1    2    3 
"1175"        0.400          ( 79.768       , 72.219       )     No           3          1    2    3 
"1176"        0.400          ( 79.514001    , 72.329       )     No           3          1    2    3 
"1177"        0.400          ( 78.752001    , 72.206       )     No           3          1    2    3 
"1178"        0.400          ( 78.717001    , 72.456       )     No           3          1    2    3 
"1179"        0.400          ( 76.667       , 64.6         )     No           3          1    2    3 
"1180"        0.400          ( 85.897       , 66.127       )     No           3          1    2    3 
"1181"        0.400          ( 85           , 57.261       )     No           3          1    2    3 
"1182"        0.400          ( 111.400999   , 65.552       )     No           3          1    2    3 
"1183"        0.400          ( 111.653999   , 65.783       )     No           3          1    2    3 
"1184"        0.400          ( 108.196      , 65.552       )     No           3          1    2    3 
"1185"        0.400          ( 107.827      , 64.673       )     No           3          1    2    3 
"1186"        0.400          ( 95.159       , 65.648       )     No           3          1    2    3 
"1187"        0.400          ( 94.903999    , 66.035       )     No           3          1    2    3 
"1188"        0.400          ( 89.822       , 111.734      )     No           3          1    2    3 
"1189"        0.400          ( 141.938999   , 127.651001   )     No           3          1    2    3 
"1190"        0.400          ( 164.482999   , 125.554001   )     No           3          1    2    3 
"1191"        0.400          ( 149.423999   , 64.37        )     No           3          1    2    3 
"1192"        0.400          ( 142.31       , 63.293       )     No           3          1    2    3 
"1193"        0.400          ( 144.329      , 72.319       )     No           3          1    2    3 
"1194"        0.400          ( 156.167      , 70.408       )     No           3          1    2    3 
"1195"        0.400          ( 150.386001   , 71.833       )     No           3          1    2    3 
"1196"        0.400          ( 153.319      , 92.459       )     No           3          1    2    3 
"1197"        0.400          ( 146.261001   , 95.566       )     No           3          1    2    3 
"1198"        0.400          ( 205.268      , 98.834       )     No           3          1    2    3 
"1199"        0.400          ( 192.791999   , 117.515      )     No           3          1    2    3 
"1200"        0.400          ( 192.791999   , 117.515      )     No           3          1    2    3 
"1201"        0.400          ( 77.127       , 70.552999    )     No           3          1    2    3 
"1202"        0.400          ( 77.07        , 70.896       )     No           3          1    2    3 
"1203"        0.400          ( 76.256001    , 71.558       )     No           3          1    2    3 
"1204"        0.400          ( 75.420999    , 72.177       )     No           3          1    2    3 
"1205"        0.400          ( 74.642999    , 72.669       )     No           3          1    2    3 
"1206"        0.400          ( 79.685       , 72.146       )     No           3          1    2    3 
"1207"        0.400          ( 79.281999    , 72.097       )     No           3          1    2    3 
"1208"        0.400          ( 78.5         , 72.206       )     No           3          1    2    3 
"1209"        0.400          ( 78.522       , 72.456       )     No           3          1    2    3 
"1210"        0.400          ( 76.626       , 64.187       )     No           3          1    2    3 
"1211"        0.400          ( 85.657999    , 66.113       )     No           3          1    2    3 
"1212"        0.400          ( 85.625       , 66.113       )     No           3          1    2    3 
"1213"        0.400          ( 111.400999   , 65.425       )     No           3          1    2    3 
"1214"        0.400          ( 111.669999   , 65.477       )     No           3          1    2    3 
"1215"        0.400          ( 108.154001   , 65.326001    )     No           3          1    2    3 
"1216"        0.400          ( 107.897999   , 64.532       )     No           3          1    2    3 
"1217"        0.400          ( 95.016       , 65.76        )     No           3          1    2    3 
"1218"        0.400          ( 94.935       , 65.882       )     No           3          1    2    3 
"1219"        0.400          ( 89.809       , 111.834      )     No           3          1    2    3 
"1220"        0.400          ( 141.337      , 127.737      )     No           3          1    2    3 
"1221"        0.400          ( 163.494999   , 125.434      )     No           3          1    2    3 
"1222"        0.400          ( 149.557      , 63.849       )     No           3          1    2    3 
"1223"        0.400          ( 141.822999   , 63.262       )     No           3          1    2    3 
"1224"        0.400          ( 144.329      , 72.618       )     No           3          1    2    3 
"1225"        0.400          ( 156.338      , 70.345       )     No           3          1    2    3 
"1226"        0.400          ( 150.435      , 71.872       )     No           3          1    2    3 
"1227"        0.400          ( 148.572      , 93.473       )     No           3          1    2    3 
"1228"        0.400          ( 146.181      , 95.938       )     No           3          1    2    3 
"1229"        0.400          ( 207.209      , 97.863       )     No           3          1    2    3 
"1230"        0.400          ( 193.568001   , 118.679999   )     No           3          1    2    3 
"1231"        0.400          ( 193.568001   , 118.679999   )     No           3          1    2    3 
"1232"        0.400          ( 76.944       , 70.438       )     No           3          1    2    3 
"1233"        0.400          ( 76.989       , 70.873       )     No           3          1    2    3 
"1234"        0.400          ( 76.291001    , 71.434       )     No           3          1    2    3 
"1235"        0.400          ( 75.25        , 72.246       )     No           3          1    2    3 
"1236"        0.400          ( 74.459999    , 72.692       )     No           3          1    2    3 
"1237"        0.400          ( 79.413       , 71.875       )     No           3          1    2    3 
"1238"        0.400          ( 78.787001    , 71.956       )     No           3          1    2    3 
"1239"        0.400          ( 77.856       , 72.321       )     No           3          1    2    3 
"1240"        0.400          ( 77.913999    , 72.564       )     No           3          1    2    3 
"1241"        0.400          ( 76.707999    , 63.98        )     No           3          1    2    3 
"1242"        0.400          ( 85.625       , 66.113       )     No           3          1    2    3 
"1243"        0.400          ( 111.378      , 65.225       )     No           3          1    2    3 
"1244"        0.400          ( 111.458001   , 64.418       )     No           3          1    2    3 
"1245"        0.400          ( 108.154001   , 65.212       )     No           3          1    2    3 
"1246"        0.400          ( 107.969      , 64.432       )     No           3          1    2    3 
"1247"        0.400          ( 94.935       , 65.882       )     No           3          1    2    3 
"1248"        0.400          ( 89.759001    , 111.929      )     No           3          1    2    3 
"1249"        0.400          ( 136.576001   , 128.797      )     No           3          1    2    3 
"1250"        0.400          ( 159.137      , 125.217      )     No           3          1    2    3 
"1251"        0.400          ( 149.736      , 63.224999    )     No           3          1    2    3 
"1252"        0.400          ( 141.416      , 63.336       )     No           3          1    2    3 
"1253"        0.400          ( 144.383999   , 72.873       )     No           3          1    2    3 
"1254"        0.400          ( 156.429      , 70.291       )     No           3          1    2    3 
"1255"        0.400          ( 150.484999   , 71.896       )     No           3          1    2    3 
"1256"        0.400          ( 148.01       , 93.562       )     No           3          1    2    3 
"1257"        0.400          ( 146.181      , 96.324       )     No           3          1    2    3 
"1258"        0.400          ( 208.416      , 97.298       )     No           3          1    2    3 
"1259"        0.400          ( 193.997999   , 119.445      )     No           3          1    2    3 
"1260"        0.400          ( 193.997999   , 119.445      )     No           3          1    2    3 
"1261"        0.400          ( 75.067       , 68.825       )     No           3          1    2    3 
"1262"        0.400          ( 76.828999    , 70.782       )     No           3          1    2    3 
"1263"        0.400          ( 76.349       , 71.354       )     No           3          1    2    3 
"1264"        0.400          ( 75.112001    , 72.287       )     No           3          1    2    3 
"1265"        0.400          ( 74.253001    , 72.678       )     No           3          1    2    3 
"1266"        0.400          ( 78.822001    , 71.706       )     No           3          1    2    3 
"1267"        0.400          ( 78.476999    , 71.956       )     No           3          1    2    3 
"1268"        0.400          ( 77.313       , 72.486       )     No           3          1    2    3 
"1269"        0.400          ( 77.415999    , 72.716       )     No           3          1    2    3 
"1270"        0.400          ( 76.874       , 63.897       )     No           3          1    2    3 
"1271"        0.400          ( 111.316      , 64.929       )     No           3          1    2    3 
"1272"        0.400          ( 111.387      , 64.092       )     No           3          1    2    3 
"1273"        0.400          ( 108.182      , 65.155       )     No           3          1    2    3 
"1274"        0.400          ( 108.096999   , 64.39        )     No           3          1    2    3 
"1275"        0.400          ( 89.695       , 112.03       )     No           3          1    2    3 
"1276"        0.400          ( 136.06       , 128.883      )     No           3          1    2    3 
"1277"        0.400          ( 157.933001   , 125.386      )     No           3          1    2    3 
"1278"        0.400          ( 149.913999   , 62.601       )     No           3          1    2    3 
"1279"        0.400          ( 141.140001   , 63.373001    )     No           3          1    2    3 
"1280"        0.400          ( 144.741      , 73.171       )     No           3          1    2    3 
"1281"        0.400          ( 156.647      , 70.127       )     No           3          1    2    3 
"1282"        0.400          ( 150.532      , 71.907       )     No           3          1    2    3 
"1283"        0.400          ( 147.654999   , 93.562       )     No           3          1    2    3 
